Vulnerability Type,Description,Severity,Exploitability
Reconnaissance,Found outdated software versions during recon phase.,Medium,High
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Medium
Reconnaissance,Found outdated software versions during recon phase.,High,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Medium
Reconnaissance,Found outdated software versions during recon phase.,Low,Critical
Session Management,Reused session ID for unauthorized access.,High,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,Critical,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,High,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,Critical
Access Control,Bypassed access control to access restricted admin resources.,High,High
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Medium
Session Management,Reused session ID for unauthorized access.,Critical,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,High
Session Management,Reused session ID for unauthorized access.,High,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,High,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
Session Management,Session did not expire properly after logout.,Low,Medium
Access Control,Unauthorized users could access privileged actions.,Low,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
Access Control,Bypassed access control to access restricted admin resources.,Low,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,Critical
Session Management,Session did not expire properly after logout.,Critical,Low
Static Code Analysis,Improper input validation leading to potential code injection.,High,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,High
Session Management,Session fixation vulnerability found in login mechanism.,Low,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Medium,High
Automated Scanning,Found insecure HTTP methods enabled.,Low,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Low
Access Control,Unauthorized users could access privileged actions.,Critical,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,High
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
Database Vulnerabilities,Discovered exposed database query logs.,High,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
